Commune,Code postal,Type local,Surface reelle bati,Valeur fonciere,Prix_m2,Date mutation
NICE,6200.0,Appartement,20.0,110000.0,5500.0,09/02/2024
NICE,6100.0,Appartement,34.0,160000.0,4705.882352941177,01/02/2024
NICE,6100.0,Appartement,30.0,96600.0,3220.0,16/02/2024
NICE,6100.0,Appartement,16.0,85000.0,5312.5,07/02/2024
NICE,6000.0,Appartement,32.0,146780.0,4586.875,08/02/2024
NICE,6200.0,Appartement,22.0,113230.0,5146.818181818182,09/02/2024
NICE,6100.0,Appartement,42.0,110000.0,2619.0476190476193,13/02/2024
NICE,6000.0,Appartement,36.0,116000.0,3222.222222222222,29/01/2024
NICE,6300.0,Appartement,14.0,106500.0,7607.142857142857,22/02/2024
NICE,6100.0,Appartement,44.0,173000.0,3931.818181818182,08/02/2024
NICE,6300.0,Appartement,37.0,200000.0,5405.405405405405,19/02/2024
NICE,6100.0,Appartement,28.0,179000.0,6392.857142857143,16/02/2024
NICE,6300.0,Appartement,44.0,60000.0,1363.6363636363637,22/02/2024
NICE,6000.0,Appartement,14.0,93000.0,6642.857142857143,20/02/2024
NICE,6200.0,Appartement,27.0,155000.0,5740.740740740741,22/02/2024
NICE,6000.0,Appartement,29.0,180000.0,6206.896551724138,07/02/2024
NICE,6100.0,Appartement,23.0,55000.0,2391.304347826087,16/02/2024
NICE,6200.0,Appartement,18.0,45000.0,2500.0,20/02/2024
NICE,6000.0,Appartement,42.0,196000.0,4666.666666666667,08/02/2024
NICE,6000.0,Appartement,35.0,200400.0,5725.714285714285,21/02/2024
NICE,6100.0,Appartement,22.0,125000.0,5681.818181818182,22/02/2024
NICE,6300.0,Appartement,26.0,230000.0,8846.153846153846,22/02/2024
NICE,6200.0,Appartement,30.0,135000.0,4500.0,08/02/2024
NICE,6300.0,Appartement,26.0,170000.0,6538.461538461538,20/02/2024
NICE,6300.0,Appartement,43.0,250000.0,5813.953488372093,15/02/2024
NICE,6300.0,Appartement,17.0,100000.0,5882.35294117647,13/02/2024
NICE,6300.0,Appartement,19.0,75000.0,3947.3684210526317,21/02/2024
NICE,6100.0,Appartement,27.0,100000.0,3703.703703703704,05/02/2024
NICE,6000.0,Appartement,21.0,95000.0,4523.809523809524,23/02/2024
NICE,6200.0,Appartement,34.0,142000.0,4176.470588235294,07/02/2024
NICE,6000.0,Appartement,31.0,112800.0,3638.7096774193546,20/02/2024
NICE,6000.0,Appartement,38.0,358810.0,9442.368421052632,13/02/2024
NICE,6000.0,Appartement,41.0,161000.0,3926.829268292683,22/02/2024
NICE,6300.0,Appartement,42.0,204000.0,4857.142857142857,15/02/2024
NICE,6300.0,Appartement,18.0,90000.0,5000.0,20/02/2024
NICE,6300.0,Appartement,39.0,140160.0,3593.846153846154,27/02/2024
NICE,6000.0,Appartement,43.0,210000.0,4883.720930232558,16/02/2024
NICE,6100.0,Appartement,26.0,131600.0,5061.538461538462,21/02/2024
NICE,6200.0,Appartement,33.0,178650.0,5413.636363636364,20/02/2024
NICE,6000.0,Appartement,16.0,90000.0,5625.0,19/02/2024
NICE,6000.0,Appartement,21.0,120000.0,5714.285714285715,20/02/2024
NICE,6000.0,Appartement,33.0,189960.0,5756.363636363636,28/02/2024
NICE,6300.0,Appartement,44.0,150400.0,3418.181818181818,22/02/2024
NICE,6000.0,Appartement,43.0,141950.0,3301.1627906976746,22/02/2024
NICE,6100.0,Appartement,35.0,125000.0,3571.4285714285716,15/02/2024
NICE,6300.0,Appartement,29.0,143000.0,4931.0344827586205,23/02/2024
NICE,6200.0,Appartement,31.0,141000.0,4548.387096774193,12/02/2024
NICE,6300.0,Appartement,35.0,190000.0,5428.571428571428,21/02/2024
NICE,6100.0,Appartement,42.0,350000.0,8333.333333333334,19/02/2024
NICE,6100.0,Appartement,27.0,63000.0,2333.3333333333335,29/02/2024
NICE,6200.0,Appartement,20.0,141150.0,7057.5,26/02/2024
NICE,6300.0,Appartement,33.0,250000.0,7575.757575757576,23/02/2024
NICE,6100.0,Appartement,27.0,152000.0,5629.62962962963,23/02/2024
NICE,6200.0,Appartement,36.0,117500.0,3263.8888888888887,23/02/2024
NICE,6000.0,Appartement,20.0,100000.0,5000.0,23/02/2024
NICE,6300.0,Appartement,36.0,166250.0,4618.055555555556,16/02/2024
NICE,6200.0,Appartement,36.0,133000.0,3694.4444444444443,22/02/2024
NICE,6100.0,Appartement,40.0,150000.0,3750.0,23/02/2024
NICE,6000.0,Appartement,31.0,210000.0,6774.193548387097,26/02/2024
NICE,6000.0,Appartement,20.0,145000.0,7250.0,27/02/2024
NICE,6300.0,Appartement,16.0,129500.0,8093.75,09/02/2024
NICE,6300.0,Appartement,36.0,188000.0,5222.222222222223,01/03/2024
NICE,6000.0,Appartement,27.0,80000.0,2962.962962962963,12/02/2024
NICE,6000.0,Appartement,40.0,330000.0,8250.0,20/02/2024
NICE,6100.0,Appartement,37.0,95000.0,2567.5675675675675,19/02/2024
NICE,6000.0,Appartement,27.0,177700.0,6581.481481481482,29/02/2024
NICE,6300.0,Appartement,38.0,206000.0,5421.0526315789475,22/02/2024
NICE,6300.0,Appartement,40.0,130000.0,3250.0,04/03/2024
NICE,6200.0,Appartement,44.0,152000.0,3454.5454545454545,28/02/2024
NICE,6100.0,Appartement,38.0,138000.0,3631.5789473684213,16/02/2024
NICE,6000.0,Appartement,35.0,110000.0,3142.8571428571427,09/02/2024
NICE,6200.0,Appartement,24.0,159000.0,6625.0,21/02/2024
NICE,6300.0,Appartement,29.0,145300.0,5010.3448275862065,23/02/2024
NICE,6300.0,Appartement,22.0,45000.0,2045.4545454545455,23/02/2024
NICE,6100.0,Appartement,42.0,160000.0,3809.5238095238096,23/02/2024
NICE,6000.0,Appartement,38.0,291575.0,7673.026315789473,16/02/2024
NICE,6000.0,Appartement,32.0,270000.0,8437.5,05/03/2024
NICE,6000.0,Appartement,30.0,131320.0,4377.333333333333,05/03/2024
NICE,6000.0,Appartement,39.0,303000.0,7769.2307692307695,28/02/2024
NICE,6000.0,Appartement,40.0,310000.0,7750.0,29/02/2024
NICE,6000.0,Appartement,38.0,256000.0,6736.8421052631575,19/02/2024
NICE,6300.0,Appartement,41.0,200000.0,4878.048780487805,01/03/2024
NICE,6100.0,Appartement,38.0,280000.0,7368.421052631579,23/02/2024
NICE,6000.0,Appartement,29.0,215000.0,7413.793103448276,29/02/2024
NICE,6000.0,Appartement,30.0,101000.0,3366.6666666666665,28/02/2024
NICE,6200.0,Appartement,42.0,232000.0,5523.809523809524,26/02/2024
NICE,6000.0,Appartement,32.0,170500.0,5328.125,05/03/2024
NICE,6000.0,Appartement,15.0,60000.0,4000.0,26/02/2024
NICE,6300.0,Appartement,25.0,171450.0,6858.0,16/02/2024
NICE,6300.0,Appartement,33.0,232250.0,7037.878787878788,22/02/2024
NICE,6200.0,Appartement,26.0,130000.0,5000.0,23/02/2024
NICE,6200.0,Appartement,16.0,95500.0,5968.75,21/02/2024
NICE,6000.0,Appartement,29.0,120000.0,4137.931034482759,20/02/2024
NICE,6100.0,Appartement,43.0,150000.0,3488.3720930232557,01/03/2024
NICE,6000.0,Appartement,15.0,277710.0,18514.0,22/02/2024
NICE,6000.0,Appartement,16.0,277710.0,17356.875,22/02/2024
NICE,6000.0,Appartement,13.0,277710.0,21362.30769230769,22/02/2024
NICE,6300.0,Appartement,19.0,43600.0,2294.7368421052633,19/02/2024
NICE,6000.0,Appartement,30.0,245000.0,8166.666666666667,27/02/2024
NICE,6300.0,Appartement,35.0,258400.0,7382.857142857143,15/02/2024
NICE,6200.0,Appartement,30.0,125000.0,4166.666666666667,22/02/2024
NICE,6200.0,Appartement,44.0,155000.0,3522.7272727272725,26/02/2024
NICE,6000.0,Appartement,43.0,372191.0,8655.60465116279,05/03/2024
NICE,6000.0,Appartement,36.0,63000.0,1750.0,23/02/2024
NICE,6200.0,Appartement,30.0,212840.0,7094.666666666667,07/03/2024
NICE,6200.0,Appartement,22.0,104500.0,4750.0,29/02/2024
NICE,6000.0,Appartement,25.0,229900.0,9196.0,05/03/2024
NICE,6000.0,Appartement,25.0,106000.0,4240.0,11/03/2024
NICE,6300.0,Appartement,14.0,45000.0,3214.285714285714,05/03/2024
NICE,6200.0,Appartement,28.0,153000.0,5464.285714285715,23/02/2024
NICE,6000.0,Appartement,24.0,130000.0,5416.666666666667,26/02/2024
NICE,6000.0,Appartement,45.0,150500.0,3344.4444444444443,07/03/2024
NICE,6300.0,Appartement,37.0,200000.0,5405.405405405405,21/02/2024
NICE,6000.0,Appartement,36.0,175000.0,4861.111111111111,29/02/2024
NICE,6300.0,Appartement,15.0,180000.0,12000.0,20/02/2024
NICE,6300.0,Appartement,17.0,85000.0,5000.0,28/02/2024
NICE,6000.0,Appartement,15.0,200000.0,13333.333333333334,04/03/2024
NICE,6000.0,Appartement,29.0,145000.0,5000.0,28/02/2024
NICE,6200.0,Appartement,22.0,112000.0,5090.909090909091,29/02/2024
NICE,6300.0,Appartement,36.0,175000.0,4861.111111111111,28/02/2024
NICE,6000.0,Appartement,28.0,155000.0,5535.714285714285,08/03/2024
NICE,6300.0,Appartement,37.0,151000.0,4081.0810810810813,21/02/2024
NICE,6000.0,Appartement,23.0,113000.0,4913.04347826087,05/03/2024
NICE,6000.0,Appartement,33.0,282075.0,8547.727272727272,07/02/2024
NICE,6000.0,Appartement,16.0,282075.0,17629.6875,07/02/2024
NICE,6000.0,Appartement,45.0,160020.0,3556.0,08/03/2024
NICE,6300.0,Appartement,32.0,308300.0,9634.375,11/03/2024
NICE,6000.0,Appartement,38.0,283000.0,7447.368421052632,05/03/2024
NICE,6100.0,Appartement,19.0,90000.0,4736.8421052631575,22/02/2024
NICE,6100.0,Appartement,28.0,155000.0,5535.714285714285,05/03/2024
NICE,6200.0,Appartement,20.0,190000.0,9500.0,05/03/2024
NICE,6200.0,Appartement,23.0,190000.0,8260.869565217392,05/03/2024
NICE,6300.0,Appartement,37.0,238500.0,6445.945945945946,21/02/2024
